Ecoinvent_flow_reference,Ecoinvent_process,UUID_provider
connector_system,connector_system,5b47ba0d-20fc-49a8-ab10-9bcf5702534b
"hazardous waste, for incineration",connector_system,5b47ba0d-20fc-49a8-ab10-9bcf5702534b
"waste plastic, mixture",connector_system,5b47ba0d-20fc-49a8-ab10-9bcf5702534b
Water,connector_system,5b47ba0d-20fc-49a8-ab10-9bcf5702534b
magnet,magnet,ea24c327-5614-40fa-a210-b49ae7278a23
4Q_output_control_card,4Q_output_control_card,74ca9395-9bd5-4447-bd13-fd38ee091a15
4Q_output_power_card,4Q_output_power_card,dc0f68cc-227b-4233-9d80-1003f6df4e52
4Q_power_card,4Q_power_card,f2f56cc6-a31b-4ec0-b3fb-c5abf83d87d0
analog_control,analog_control,9506963a-cbac-4d2c-aa9a-9b9d383a4b05
contactor_card,contactor_card,9875776f-fd1c-4b97-9b71-7a5e5feb1311
control_backplane_card,control_backplane_card,78c6ad51-7bbb-4875-84ab-bc030faa8ebe
digital_control,digital_control,70d2b571-e473-43dc-b0c2-60e15aff0588
fan_supervision_card,fan_supervision_card,2b6ead22-a47c-4b18-b22a-aee46de71804
filter_card,filter_card,901e8512-b2a5-4782-8e51-c39b3e5471fa
fuse_card,fuse_card,bb1fd9e1-fc24-444b-bda6-2f3a6584760e
HF_Power_Transformer_PM624929,HF_Power_Transformer_PM624929,0e305379-5929-42fc-821e-775fd18caf52
inverter_power_card,inverter_power_card,70df96a9-ff4a-482a-8daf-007a0ce7da70
mechanical_components,mechanical_components,d51458bb-9b5d-4d93-a526-f39c8bbb611a
power_inductor_PM6249,power_inductor_PM6249,f3199f81-3d63-4655-818c-1452a96bf86f
MEXICO_CONVERTER,MEXICO,e31adaa4-d827-4e09-b797-b37bd3b76b54
system,system,96ee30d3-9ce9-4a8c-adc8-566d4eef5107
P1,transport_code_P1,ac67c1f6-1ffe-45e9-ae36-3d91bd13a01d
P2,transport_code_P2,05f6f4ce-0d6b-49f5-8c48-a22f9dfff7d0
S1,transport_code_S1,680e3b2a-731f-43b7-900b-63890fe24d9b
S2,transport_code_S2,9fdd4af9-4406-4a0b-96c4-9ceb3cb64872
SS1,transport_code_SS1,63ca2aac-ea5c-4e3b-bb36-ba70c0c0f940
connector_system_transport,connector_system_transport,5517c765-4c28-4178-bffe-cf0750e4fabb
magnet_transport,magnet_transport,25ceb970-0468-4ffd-a030-2bb303934573
mexico_transport,mexico_transport,7eba1c34-5574-46d2-8a39-da958fa2ff1b
transport,transport,31378d11-e9b5-4f92-9471-66d854ddc8b1
