Designators,Casing,Section,Subsection,Ecoinvent_unit,unit,Total_quantity,Ecoinvent_flow,Category,Manufacturer,Part_Number,Description,number_elements,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Direction,Database_component_title,Comments,Order_index,Category_order,Group_order,Method,Volume_cm3,Mass_per_element_g,Density_used_g_cm3,Density_source,Validation_error
PCB,,PCB,,m2,m2,0.02255,"printed wiring board production, for through-hole mounting, Pb free surface",AUTO,Panel of 1,EDA-05282-V1,4Q Output Control Card [25A 100V] Printed Circuit Board (Bare),1,0.02255,YES,205,110,,,,,,,EcoInvent,Input,,Bare board,1,1,1,AREA_LW_MM_TO_M2,,,,,
F1,,Passives,Protection,kg,kg,0.0025,"electronic component, passive, unspecified",AUTO,MERSEN/FERRAZ SHAWMUT,G076458,"6.3x46mm Cylindrical Very Fast Acting Ceramic Sand Filled Fuse, FA HRC Series",1,0.0025,YES,,,,,,,,,EcoInvent,Input,,"Mass from datasheet, aproximated as passive",12,1,8,DATASHEET_QTY_KG,,2.5,,MISSING,
"F3,F4",,Passive,Protection,kg,kg,2.0037417e-05,"electronic component, passive, unspecified",AUTO,Littelfuse,microSMD005F,PolySwitch® Resettable PPTC Overcurrent Protection Device,2,1.0018708e-05,NO,3.21,2.57,0.72,,1.2,1.5,0.002,,EcoInvent,Input,,As passive,13,1,9,CALCULATED,0.005939784,0.010019,1.35,MIN_MAX_AVG,
"FH1, FH3",,Electromechanical,Fuse holder,kg,kg,0.00148,"electronic component, passive, unspecified",AUTO,BUSSMANN,1A1907-06-R,"Fuse Clip for 1/4"" (6.35)mm Diameter Fuses",2,0.00074,YES,,,,,,,,,EcoInvent,Input,,MASS INFO: https://www.mouser.ch/ProductDetail/Eaton-Electronics/BK-1A1907-06-R?qs=jGANiKWBgcjqTqTdin90Fg%3D%3D,14,1,10,DATASHEET_QTY_KG,,0.74,,MISSING,
"IC2, IC3",DIP6 SMD,Module,Hybrid relays,kg,kg,0.000854,"electronic component production, active, unspecified",AUTO,Panasonic,AQV210EHA,"GE 1 Form A, PhotoMOS Relay, 5000V Reinforced Insulation, 350V 130mA",2,0.000427,YES,,,,,,,,,EcoInvent,Input,,The PhotoMOS is a solid-state relay combining an LED and MOSFETs in an SMD package. TO GENERIC DATABASE.,16,1,12,DATASHEET_QTY_KG,,0.427,,MISSING,
IC4,,Module,DC/DC Converters,kg,kg,0.0127,"electronic component production, active, unspecified",AUTO,TRACO POWER,TEN 6-2415N,"18-36VDC to 24VDC, Iout (max) 250mA, 6W DC-DC Converter",1,0.0127,YES,,,,,,,,,EcoInvent,Input,,"Mass from datasheet, aproximated as active",17,1,13,DATASHEET_QTY_KG,,12.7,,MISSING,
"IC5, IC6",TO-92,IC,Analog,kg,kg,0.000428,"integrated circuit production, logic type",AUTO,DALLAS MAXIM,DS18B20,Programmable Resolution 1-Wire Digital Thermometer (-55°C to +125°C),2,0.000214,YES,,,,,,,,,EcoInvent,Input,,As integrated circuit. Mass info: https://www.mouser.ch/ProductDetail/Traco-Power/DS18B20%2B?qs=3kCnFMRqPtFkJiNhvgRjIQ%3D%3D,18,1,14,DATASHEET_QTY_KG,,0.214,,MISSING,
"IC7, IC8",SOIC8,IC,Analog,kg,kg,8.0262e-05,"integrated circuit production, logic type",AUTO,TEXAS INSTRUMENTS,INA141U,"Precision, Low Power, G = 10, 100 Instrumentation Amplifier",2,4.0131e-05,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,Input,,,19,1,14,CALCULATED,0.0334425,0.040131,1.2,MIN_MAX_AVG,
"J1,J3",,Electromechanical,Connectors,kg,kg,0.00156,"electric connector production, wire clamp",AUTO,TYCO ELECTRONICS,1-770166-0,"2 Circuits In-Line, Mini-Universal MATE-N-LOK Connetor",2,0.00078,YES,,,,,,,,,EcoInvent,Input,,"Mass info:https://www.tme.eu/se/details/1-770166-0/signalkontaktdon-avstand-4-14mm/te-connectivity""/",20,1,15,DATASHEET_QTY_KG,,0.78,,MISSING,
J2,,Electromechanical,Connectors,kg,kg,0.00319,"electric connector production, wire clamp",AUTO,TYCO ELECTRONICS,640900-1,5 Circuits In-Line - Universal MATE-N-LOK Connector,1,0.00319,YES,,,,,,,,,EcoInvent,Input,,Mass info: https://www.tme.eu/se/details/640900-1/signalkontaktdon-avstand-6-35mm/te-connectivity/,21,1,15,DATASHEET_QTY_KG,,3.19,,MISSING,
